127.0.0.1 - - [14/Jul/2023:14:30:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:30:19 +0900] "GET /JSP/ex01_JSP_Test.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:30:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:39:14 +0900] "GET /JSP/ex01_JSP_Test.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:39:52 +0900] "GET /JSP/ex01_JSP_Test.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:40:40 +0900] "GET /JSP/ex01_JSP_Test.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:42:22 +0900] "GET /JSP/ex01_JSP_Test.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:48:42 +0900] "GET /JSP/ex02_hap100.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:48:57 +0900] "GET /JSP/ex02_hap100.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:23:18 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:31 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:32 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:32 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:32 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:32 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:32 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:49 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:49 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:50 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:50 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:50 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:53 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:53 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:53 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:24:54 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:25:00 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:26:00 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:26:08 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:26:08 +0900] "GET /JSP/ex03_table.jsp HTTP/1.1" 200 499
